2025-09-29T21:50:37.947Z [INFO] [SharedStateManager] Persistence not configured. 
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"test.nested.value"}
2025-09-29T21:50:37.960Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.count"}
2025-09-29T21:50:37.961Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:50:37.962Z [INFO] [SharedStateManager] Subscription created {"path":"test.watchable","subscriptionId":"f02eccff-74dc-46a6-a341-1af1736eddab"}
2025-09-29T21:50:37.962Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T21:50:37.962Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T21:50:37.962Z [INFO] [SharedStateManager] Subscription removed {"subscriptionId":"f02eccff-74dc-46a6-a341-1af1736eddab"}
2025-09-29T21:50:37.962Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T21:50:37.962Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:50:37.962Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T21:50:37.962Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:50:37.963Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.1cc4b5ea-b689-4cd3-bf12-0af52db46a14"}
2025-09-29T21:50:37.965Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.1cc4b5ea-b689-4cd3-bf12-0af52db46a14"}
2025-09-29T21:50:37.965Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.528b76e7-1b74-4fe3-8f38-44148b10c8a8"}
2025-09-29T21:50:37.965Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.528b76e7-1b74-4fe3-8f38-44148b10c8a8"}
2025-09-29T21:50:37.965Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.39b1f88b-99c6-4cf3-a326-b2521439d0c1"}
2025-09-29T21:50:37.965Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:50:37.966Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.39b1f88b-99c6-4cf3-a326-b2521439d0c1"}
2025-09-29T21:50:37.966Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.39b1f88b-99c6-4cf3-a326-b2521439d0c1"}
2025-09-29T21:50:37.966Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.39b1f88b-99c6-4cf3-a326-b2521439d0c1.research_results"}
2025-09-29T21:50:37.966Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.39b1f88b-99c6-4cf3-a326-b2521439d0c1"}
2025-09-29T21:50:37.966Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.39b1f88b-99c6-4cf3-a326-b2521439d0c1.analysis_results"}
2025-09-29T21:50:37.966Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.39b1f88b-99c6-4cf3-a326-b2521439d0c1"}
2025-09-29T21:51:36.722Z [INFO] [SharedStateManager] Persistence not configured. 
2025-09-29T21:51:36.726Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:51:36.727Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T21:51:36.727Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:51:36.727Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.e0da8c9c-4a2c-4330-905b-dc30d6268e8a"}
2025-09-29T21:51:36.727Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.e0da8c9c-4a2c-4330-905b-dc30d6268e8a"}
2025-09-29T21:51:36.732Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:51:36.733Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T21:51:36.733Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:51:36.733Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.7150b5b1-b4d5-4c57-819a-8ef313dbba4d"}
2025-09-29T21:51:36.733Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.7150b5b1-b4d5-4c57-819a-8ef313dbba4d"}
2025-09-29T21:51:36.733Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.c8c04556-98ac-4ed4-9e44-62ed3d3f5ae5"}
2025-09-29T21:51:36.733Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.c8c04556-98ac-4ed4-9e44-62ed3d3f5ae5"}
2025-09-29T21:51:36.733Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.edeec609-1dcb-4b46-ad38-bee845b0d167"}
2025-09-29T21:51:36.733Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.edeec609-1dcb-4b46-ad38-bee845b0d167"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.450b79f3-e8f8-4652-abd3-e2e2f690bf5b"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.450b79f3-e8f8-4652-abd3-e2e2f690bf5b"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.b0d28f6d-c5d9-4237-b887-1ba338b0782b"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.b0d28f6d-c5d9-4237-b887-1ba338b0782b"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.b0d28f6d-c5d9-4237-b887-1ba338b0782b"}
2025-09-29T21:51:36.734Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.b0d28f6d-c5d9-4237-b887-1ba338b0782b"}
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.15016a58-2fc0-46dc-89e5-4aaf26b400ba"}
